TERM,SUBJECT,CREDIT,GRADE
1,Programing,3,C+
1,Math I,3,A
1,Physic I,3,B
1,English I,3,C+
1,Introduction to eng,1,A
1,Com expo,1,B+
1,Physic lab I,1,B+
1,Man and so,3,B
1,Table tennis,1,B+
