TERM,SUBJECT,CREDIT,GRADE
2/1,Statistics,3,C+
2/1,Logic desjgn of digital ,3,C+
2/1,Digital system lab,1,B+
2/1,Software dev I,3,C+
2/1,Discrete mathematic,3,C+
2/1,Physic in daily life,3,A
