TERM,SUBJECT,CREDIT,GRADE
1/2,Data structure,3,B+
1/2,Math II,3,B+
1/2,Physic lab II,1,A
1/2,Physic II,3,C+
1/2,English II,3,C+
1/2,Circuit,3,C
1/2,Circuit lab,1,C+
1/2,Basketball,1,A
1/2,Work ethic,1,A
