TERM,SUBJECT,CREDIT,GRADE
2/2,Analog and Digital ,3,C+
2/2,Computer Network I,3,A
2/2,Ubiquitous computing,1,B
2/2,Software dev II,3,C+
2/2,Computer Organization,3,B
2/2,Meditation for self dev,3,A
2/2,Gen math,3,A
