TERM,SUBJECT,CREDIT,GRADE
3/1,Exercise Skill and Sport,3,A
3/1,Embedded System Design,3,B+
3/1,Analog  Laboratory,1,B
3/1,Mathematics in Everyday,3,A
3/1,Computer Network II,3,B+
3/1,Software Engineering,3,B
3/1,English Conversation,3,B
3/1,OS,3,C+
